dataset,scene,method,num_disparities,all_pixels_gt,all_pixels_valid_pred,all_coverage_percent,all_mae,all_rmse,all_bad1_percent,all_bad2_percent,all_bad4_percent,nocc_pixels_gt,nocc_pixels_valid_pred,nocc_coverage_percent,nocc_mae,nocc_rmse,nocc_bad1_percent,nocc_bad2_percent,nocc_bad4_percent,point_cloud_points
ETH3D,electro_3l,sgbm,128,275094,242488,88.14732418736868,0.5426305532455444,2.5748770236968994,9.303140773976445,3.180775955923592,1.835967140642011,266377,234915,88.18892021458309,0.5062668919563293,2.5506324768066406,8.79594747036162,2.6298874060830513,1.3013217546772238,200000
ETH3D,electro_3l,sgbm_bilateral,128,275094,242488,88.14732418736868,0.5563204288482666,2.57485294342041,9.741925373626737,4.10247105011382,1.8635973738906668,266377,234915,88.18892021458309,0.5225881934165955,2.5551159381866455,9.25355979822489,3.580869676265883,1.3558095481344317,200000
ETH3D,electro_3s,bm,128,215229,83456,38.77544382959545,0.8112541437149048,6.479067325592041,3.0267446319018405,1.6919095092024539,1.6583588957055215,208437,82157,39.41574672442992,0.8124113082885742,6.472329139709473,3.0587777060992978,1.7040544323672968,1.6699733437199507,82157
ETH3D,electro_3s,sgbm,128,215229,108207,50.27528818142537,16.995927810668945,42.470062255859375,19.227037067842193,17.67353313556424,17.342685778184403,208437,106344,51.01973258106766,17.287166595458984,42.84026336669922,19.52061235236591,17.97092454675393,17.638982923343114,106344
ETH3D,electro_3s,sgbm_bilateral,128,215229,108207,50.27528818142537,17.282394409179688,42.4784049987793,27.91131812174813,24.625024259059025,20.606799929764247,208437,106344,51.01973258106766,17.576915740966797,42.8486442565918,28.255472805235836,24.996238621831036,20.95369743474009,106344
ETH3D,facade_1s,bm,128,211672,159003,75.11763483124835,0.2181864082813263,2.6030871868133545,0.5345811085325434,0.2937051502172915,0.292447312314862,196669,148865,75.69316974205391,0.16042110323905945,1.6823747158050537,0.3654317670372485,0.120243173344977,0.11957142377321735,148865
ETH3D,facade_1s,sgbm,128,211672,176095,83.19239200272119,0.2169196903705597,0.42434629797935486,0.22885374371787956,0.06530565887731055,0.06360203299355462,196669,164508,83.64714316948782,0.2100386619567871,0.3067888915538788,0.18175407882899314,0.018844068373574538,0.017020448853551196,164508
ETH3D,facade_1s,sgbm_bilateral,128,211672,176095,83.19239200272119,0.21476364135742188,0.3943517208099365,0.5650359181123825,0.1379936965842301,0.09029217183906414,196669,164508,83.64714316948782,0.20858293771743774,0.3079649806022644,0.48386704597952684,0.08510224426775598,0.041943248960536875,164508
ETH3D,forest_1s,bm,128,144700,98358,67.9737387698687,1.9401097297668457,12.619709968566895,5.183106610545151,3.472010410947762,2.3760141523821146,122711,92956,75.75197007603231,0.3165843188762665,3.256225824356079,2.674383579327854,1.167218899264168,0.30982400275399113,92956
ETH3D,forest_1s,sgbm,128,144700,105473,72.89080856945405,0.40327778458595276,2.3439111709594727,5.563509144520398,2.4385387729561123,0.8276999800896911,122711,101111,82.39766606090734,0.2602388262748718,0.6220922470092773,4.393191640869936,1.6516501666485348,0.27890140538615976,101111
